Entidad,Sembrada (ha) [Oct18-Sep19],Cosechada (ha) [Oct18-Sep19],Siniestrada (ha) [Oct18-Sep19],Produccion (ton) [Oct18-Sep19],Rendimiento (ton/ha),Cultivo seleccionado,Consumo (I+J+K+L),Semilla para siembra [Oct18-Sep19],Para consumo de la familia [Oct18-Sep19],Para consumo de los animales [Oct18-Sep19],Para venta (Total),Para venta (Exportacion),Consumo total (H+M)
Sinaloa,553105.75,535501.13,1493.41,6335817.76,11.83,Maiz de Grano,7484681.071,1303.304,11957.818,29729.967,7441689.982,4718.4,7489399.471
Jalisco,589681.06,249076.04,0,1684443.87,6.76,Maiz de Grano,3408198.105,540.644,13013.482,364068.823,3030575.156,0,3408198.105
Chihuahua,214769.12,207255.18,136.3,1477281.33,7.13,Maiz de Grano,2582406.526,2152.877867,1094.194879,81409.42998,2497750.023,2889.1723,2585295.698
Michoacan,441388.01,299337.6,6207,1343352.49,4.49,Maiz de Grano,2262398.628,11305.705,79855.539,189732.606,1981504.778,3186.737,2265585.365
Chiapas,689821.79,466361.65,17010.02,782438.17,1.68,Maiz de Grano,1084385.734,5185.905,133754.581,64331.839,881113.408,0,1084385.734
Guerrero,488513.21,333462.3,44701.42,907690.01,2.72,Maiz de Grano,731011.751,4355.955,178633.473,190137.486,357884.836,0,731011.751
Puebla,532190.63,447307.78,30,893554.07,2,Maiz de Grano,696360.1,11177.268,182114.586,66365.842,436702.405,0,696360.1
Mexico,475722.43,399492.52,0,1525646.96,3.82,Maiz de Grano,621496.911,13834.996,197055.764,139098.012,271508.139,0,621496.911
Hidalgo,231585.21,214938.27,21944.06,688991.6,3.21,Maiz de Grano,601215.282,4409.505,84897.932,74568.067,437339.778,0,601215.282
Veracruz,573459.8,415369.87,78432.75,907570.19,2.18,Maiz de Grano,578869.96,5348.178,116947.91,89414.694,367159.178,0,578869.96
Nayarit,26003,14163.25,1798.75,61933.12,4.37,Maiz de Grano,381922.645,190.536,5132.092,28171.378,348428.639,1656.818,383579.463
Oaxaca,497686.71,447358.39,30606,624119.36,1.4,Maiz de Grano,353707.314,9005.615,158804.719,36709.604,149187.376,1138.351,354845.665
Queretaro,89997.76,66327.62,18930.01,181403.37,2.73,Maiz de Grano,334367.666,1697.793,14022.222,34700.7,283946.95,0,334367.666
Durango,121350.21,88032.47,8928.45,133053.45,1.51,Maiz de Grano,298564.161,1245.293,4293.042,33735.47,259290.357,18.789,298582.95
Zacatecas,142877,165595,2080,329558.04,1.99,Maiz de Grano,287027.695,15021.178,11025.695,66423.013,194557.81,0,287027.695
Nuevo Leon,63332.84,57988.8,934,47511.33,0.82,Maiz de Grano,55973.436,2905.492,9901.355,19434.339,23732.25,0,55973.436
Baja California Sur,6800.75,6550.75,0,53939.48,8.23,Maiz de Grano,37869.15,0.095,1.667,5312.262,32555.126,0,37869.15
Baja California,719.41,714.41,54,8659.14,12.12,Maiz de Grano,6286.435,0.029,0.962,5293.885,991.56,0,6286.435
